ip,country,region,city,isp,org,asn,lat,lon
94.26.106.109,Germany,Hesse,Kriftel,SAS GENIUSWEER,,AS215607 dataforest GmbH,50.0845,8.4719
68.183.218.89,Germany,Hesse,Frankfurt am Main,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",50.1169,8.6837
106.227.90.101,China,Jiangxi,Taohua,China Telecom,Chinanet JX,AS149837 China Telecom,28.6742,115.91
146.190.22.211,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
117.162.140.162,China,Beijing,Jinrongjie,China Mobile communications corporation,China Mobile,AS56045 China Mobile communications corporation,39.9155,116.36
218.205.31.101,China,Jiangsu,Nanjing,China Mobile communications corporation,China Mobile Communications Corporation,AS56046 China Mobile communications corporation,32.0607,118.763
159.223.51.11,Singapore,South West,Singapore,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",1.32123,103.695
161.35.145.74,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
45.140.17.124,Russia,St.-Petersburg,St Petersburg,Proton66 OOO,Proton66 LLC,AS198953 Proton66 OOO,59.9417,30.3096
161.35.95.119,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
220.170.52.145,China,Hunan,Hengyang,Chinanet,,AS4134 CHINANET-BACKBONE,26.891,112.6145
134.209.84.221,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
134.209.192.139,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
2.57.122.210,The Netherlands,North Holland,Amsterdam,Unmanaged LTD,Techoff SRV Limited,AS47890 UNMANAGED LTD,52.3676,4.90414
194.233.86.234,Singapore,North West,Singapore,Contabo Asia Private Limited,Contabo Asia Private Limited,AS141995 Contabo Asia Private Limited,1.35208,103.82
206.189.106.65,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
142.93.229.185,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
89.46.101.122,Romania,Bucure?ti,Bucharest,M247 Europe SRL,Clues IPs,AS9009 M247 Europe SRL,44.4268,26.1025
106.12.86.145,China,Beijing,Jinrongjie,"Beijing Baidu Netcom Science and Technology Co., Ltd.","Beijing Baidu Netcom Science and Technology Co., Ltd.","AS38365 Beijing Baidu Netcom Science and Technology Co., Ltd.",39.9116,116.351
121.237.180.222,China,Jiangsu,Nanjing,China Telecom,Chinanet JS,AS146966 China Telecom,32.0607,118.763
193.46.255.99,United Kingdom,England,Rushden,Unmanaged LTD,Unmanaged LTD,AS47890 UNMANAGED LTD,52.2999,-0.613313
91.202.233.33,Turkmenistan,Ashgabat,Ashgabat,Prospero OOO,Prospero OOO,AS200593 PROSPERO OOO,37.95,58.3833
64.225.77.207,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
144.31.252.34,The Netherlands,Utrecht,Abcoude,u1host ltd,u1host Amsterdam,AS213877 u1host ltd,52.2721,4.97047
152.42.139.250,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC",52.352,4.9392
142.93.136.103,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
104.248.195.161,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
164.92.212.178,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
5.187.35.21,The Netherlands,North Holland,Amsterdam,Amarutu Technology Ltd,Amarutu Technology Ltd,AS206264 Amarutu Technology Ltd,52.3676,4.90414
193.46.255.159,United Kingdom,England,Rushden,Unmanaged LTD,Unmanaged LTD,AS47890 UNMANAGED LTD,52.2999,-0.613313
134.209.202.181,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
152.42.129.52,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC",52.352,4.9392
178.62.254.183,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC",52.352,4.9392
213.209.159.159,Germany,Bavaria,Augsburg,Feo Prest SRL,Feo Prest SRL,AS208137 Feo Prest SRL,48.3459,10.9161
159.223.229.57,The Netherlands,North Holland,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",52.352,4.9392
170.64.149.90,Australia,New South Wales,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",-33.8978,151.1899
